market,ma,ngay,khoi_luong_mua,gia_tri_mua,khoi_luong_ban,gia_tri_ban,khoi_luong_giao_dich_rong,gia_tri_giao_dich_rong,room_con_lai,dang_so_huu
HOSE,SBA,2022-11-21,0,0,500,12300000,-500,-12300000,29426152,
HOSE,CRE,2022-11-21,0,0,500,5250000,-500,-5250000,96371625,
HOSE,PNC,2022-11-21,0,0,800,6560000,-800,-6560000,5322491,
HOSE,VSI,2022-11-21,0,0,800,11200000,-800,-11200000,6375240,
HOSE,NCT,2022-11-21,0,0,900,76230000,-900,-76230000,4625364,
HOSE,AGG,2022-11-21,0,0,900,30150000,-900,-30150000,50337050,
HOSE,TEG,2022-11-21,0,0,965,6619900,-965,-6619900,32069783,
HOSE,DPR,2022-11-21,300,13365000,1300,57915000,-1000,-44550000,20364013,
HOSE,CTR,2022-11-21,7000,294700000,8000,336800000,-1000,-42100000,44876478,
HOSE,PNJ,2022-11-21,20900,2133890000,22000,2246200000,-1100,-112310000,44876478,
HOSE,PHC,2022-11-21,0,0,1100,6050000,-1100,-6050000,24660457,
HOSE,SCS,2022-11-21,1800,126360000,3000,210600000,-1200,-84240000,1168227,
HOSE,DQC,2022-11-21,0,0,1300,18525000,-1300,-18525000,16523889,
HOSE,FUCVREIT,2022-11-21,600,3864000,1900,12236000,-1300,-8372000,2347610,
HOSE,PTC,2022-11-21,0,0,1400,6538000,-1400,-6538000,15811732,
HOSE,TDM,2022-11-21,500,15300000,1900,58140000,-1400,-42840000,42725521,
HOSE,TIP,2022-11-21,1200,19740000,3000,49350000,-1800,-29610000,21273557,
HOSE,DPG,2022-11-21,0,0,2000,44700000,-2000,-44700000,30177175,
HOSE,SJS,2022-11-21,0,0,2300,93840000,-2300,-93840000,56442548,
HOSE,NHA,2022-11-21,0,0,2400,24120000,-2400,-24120000,20447091,
HOSE,DAG,2022-11-21,0,0,2600,9230000,-2600,-9230000,29018026,
HOSE,FUEDCMID,2022-11-21,0,0,3200,22784000,-3200,-22784000,1144475,
HOSE,GEG,2022-11-21,503,5633600,3800,42560000,-3297,-36926400,47586958,
HOSE,HID,2022-11-21,0,0,4000,10240000,-4000,-10240000,37079892,
HOSE,DSN,2022-11-21,400,18940000,4400,208340000,-4000,-189400000,3262831,
HOSE,DVP,2022-11-21,0,0,4400,187000000,-4400,-187000000,14680619,
HOSE,NHH,2022-11-21,100,1320000,5000,66000000,-4900,-64680000,72463158,
HOSE,PLP,2022-11-21,0,0,4900,20482000,-4900,-20482000,33354934,
HOSE,IMP,2022-11-21,0,0,5002,263105200,-5002,-263105200,16785747,
HOSE,HAR,2022-11-21,0,0,5200,17004000,-5200,-17004000,49438185,
