market,ma,ngay,gia_dong_cua,gia_tri_thay_doi,phan_tram_thay_doi,gia_tham_chieu,gia_mo_cua,gia_cao_nhat,gia_thap_nhat,khoi_luong_giao_dich_khop_lenh,gia_tri_giao_dich_khop_lenh,khoi_luong_giao_dich_thoa_thuan,gia_tri_giao_dich_thoa_thuan
HOSE,CSV,2022-11-22,28.7,0.8,0.0287,27.9,27.6,29.1,27.6,554400,15829000000,50000,1425000000
HOSE,TEG,2022-11-22,7.05,0.19,0.0277,6.86,6.86,7.18,6.83,185200,1292000000,0,0
HOSE,SAM,2022-11-22,6.36,0.17,0.0275,6.19,6.6,6.62,6.2,2534300,16508000000,840000,4872000000
HOSE,HCM,2022-11-22,19.0,0.5,0.027000000000000003,18.5,18.35,19.75,18.15,9576600,183600000000,0,0
HOSE,CTI,2022-11-22,11.5,0.3,0.0268,11.2,11.2,11.9,11.1,266600,3043000000,0,0
HOSE,AMD,2022-11-22,1.15,0.03,0.0268,1.12,1.19,1.19,1.13,3304600,3909000000,0,0
HOSE,BID,2022-11-22,36.45,0.95,0.0268,35.5,34.6,36.75,34.6,2109100,76124000000,0,0
HOSE,TVB,2022-11-22,3.9,0.1,0.0263,3.8,3.8,4.05,3.78,328800,1290000000,0,0
HOSE,SCS,2022-11-22,72.0,1.8,0.0256,70.2,70.9,72.0,70.0,40800,2903000000,0,0
HOSE,TCL,2022-11-22,28.35,0.7,0.0253,27.65,27.3,28.55,27.3,71800,2005000000,0,0
HOSE,YBM,2022-11-22,5.7,0.14,0.0252,5.56,5.57,5.74,5.57,1000,5000000,0,0
HOSE,DAT,2022-11-22,10.4,0.25,0.0246,10.15,9.51,10.5,9.51,2000,20000000,0,0
HOSE,THG,2022-11-22,35.45,0.85,0.0246,34.6,34.5,35.85,34.5,27700,969000000,0,0
HOSE,VPS,2022-11-22,9.68,0.23,0.024300000000000002,9.45,9.7,9.7,9.5,1000,9000000,0,0
HOSE,LDG,2022-11-22,4.3,0.1,0.023799999999999998,4.2,4.34,4.49,4.2,7116400,31601000000,0,0
HOSE,DIG,2022-11-22,13.0,0.3,0.0236,12.7,13.35,13.55,12.2,36518100,483159000000,0,0
HOSE,LM8,2022-11-22,8.7,0.2,0.0235,8.5,8.5,8.7,8.5,500,4000000,0,0
HOSE,SBT,2022-11-22,11.0,0.25,0.0233,10.75,10.75,11.2,10.7,1943900,21337000000,0,0
HOSE,EVF,2022-11-22,6.65,0.15,0.0231,6.5,6.78,6.85,6.4,202200,1351000000,0,0
HOSE,ORS,2022-11-22,8.48,0.19,0.0229,8.29,8.2,8.71,8.08,1839200,15584000000,0,0
HOSE,GMD,2022-11-22,42.75,0.95,0.0227,41.8,41.8,43.7,41.8,509600,22090000000,0,0
HOSE,ITC,2022-11-22,7.4,0.16,0.022099999999999998,7.24,7.74,7.74,7.02,1345000,10319000000,0,0
HOSE,FIT,2022-11-22,3.71,0.08,0.022000000000000002,3.63,3.7,3.88,3.68,3515300,13482000000,0,0
HOSE,SCR,2022-11-22,5.11,0.11,0.022000000000000002,5.0,5.25,5.35,5.03,8085800,42897000000,0,0
HOSE,HSL,2022-11-22,3.72,0.08,0.022000000000000002,3.64,3.64,3.79,3.43,56700,210000000,0,0
HOSE,LPB,2022-11-22,9.96,0.21,0.0215,9.75,9.7,10.4,9.66,13606700,137356000000,288000,2932200000
HOSE,TLG,2022-11-22,44.0,0.9,0.0209,43.1,43.65,44.05,42.2,236200,10337000000,0,0
HOSE,RAL,2022-11-22,74.0,1.5,0.0207,72.5,71.0,77.5,71.0,27100,2000000000,0,0
HOSE,MHC,2022-11-22,3.95,0.08,0.0207,3.87,3.97,4.08,3.9,58300,231000000,0,0
HOSE,VNM,2022-11-22,79.5,1.6,0.020499999999999997,77.9,77.5,80.2,77.4,2281200,181185000000,0,0
HOSE,AGR,2022-11-22,6.97,0.14,0.020499999999999997,6.83,6.84,7.2,6.71,585000,4121000000,0,0
HOSE,DPG,2022-11-22,22.8,0.45,0.020099999999999996,22.35,23.3,23.9,22.35,1339800,31632000000,0,0
HOSE,SMB,2022-11-22,41.5,0.8,0.0197,40.7,40.7,41.5,40.5,40400,1651000000,0,0
HOSE,BFC,2022-11-22,15.8,0.3,0.0194,15.5,15.5,16.2,15.5,110500,1747000000,0,0
HOSE,GTA,2022-11-22,13.25,0.25,0.0192,13.0,13.25,13.25,13.25,100,1000000,0,0
HOSE,PHR,2022-11-22,37.5,0.7,0.019,36.8,36.95,38.3,36.3,890500,33226000000,0,0
HOSE,NNC,2022-11-22,16.4,0.3,0.018600000000000002,16.1,15.2,16.6,15.2,25900,419000000,0,0
HOSE,CCL,2022-11-22,5.5,0.1,0.018500000000000003,5.4,5.49,5.7,5.45,127900,706000000,0,0
HOSE,TDC,2022-11-22,8.65,0.15,0.0176,8.5,8.5,9.09,8.45,1197300,10586000000,0,0
HOSE,HAP,2022-11-22,4.74,0.08,0.0172,4.66,4.65,4.98,4.56,244700,1172000000,0,0
